2026-06-11 19:41:31.849 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.849 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.849 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.849 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.849 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.849 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.849 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.849 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.849 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.849 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.849 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.849 [error] Uncaught exception: write EPIPE
